driver_id,total_fare,average_distance
51,32.72,21.79
7,76.46000000000001,25.240000000000002
54,8.43,26.55
69,60.43,32.87
29,153.7,24.29
87,67.57,19.12
3,103.25,21.91
30,53.21,2.58
59,53.58,10.174999999999999
8,109.23,14.204999999999998
85,85.19,6.96
16,10.58,26.38
35,33.37,15.84
71,35.78,44.02
98,145.69,37.19
47,99.21000000000001,41.815
96,27.94,30.56
43,149.13,33.19
5,117.47,23.465
31,16.95,23.17
100,107.58,33.64
27,237.39,22.070000000000004
61,84.43,13.75
75,116.29,13.1
26,70.87,35.91
77,34.46,28.56
60,41.83,3.54
23,193.39999999999998,22.94333333333333
55,101.82,16.509999999999998
95,223.60000000000002,19.465
93,195.97,32.660000000000004
82,168.56,23.81
53,30.64,36.25
86,52.91,6.24
58,109.03,16.93
81,173.66,13.565000000000001
84,185.37,12.84
79,52.7,10.01
24,123.72999999999999,20.880000000000003
9,107.61,43.09
32,50.21,41.03
49,48.6,16.45
63,33.99,28.01
65,121.23,38.51
39,60.16,37.025
83,84.3,3.78
13,97.29,23.52
14,36.58,27.12
94,124.28,18.0
72,134.52,40.41
76,32.02,41.71
50,99.35,27.51
