driver_id,total_fare,average_distance
7,309.37,30.310000000000002
51,32.72,21.79
15,129.73,23.92
54,34.89,22.86
11,170.28,15.07
29,240.19,16.377499999999998
69,298.53000000000003,19.325
42,155.07,36.995000000000005
87,118.88999999999999,24.599999999999998
73,128.33,2.45
64,208.52999999999997,36.75
3,103.25,21.91
30,53.21,2.58
34,125.74,35.16
59,202.86,13.92
8,198.91000000000003,13.339999999999998
28,197.38,26.305
85,191.47,10.135
16,174.0,36.06
35,133.6,23.295
52,119.3,16.15
71,129.63,27.910000000000004
98,535.8899999999999,28.2325
47,163.03,39.38
99,157.14,15.823333333333332
96,27.94,30.56
43,149.13,33.19
5,292.39,23.759999999999998
31,103.04,17.615000000000002
100,107.58,33.64
70,101.65,33.75
61,413.73,19.275
27,286.31,23.045
75,116.29,13.1
26,70.87,35.91
46,189.53,14.875
78,74.77,12.425
77,125.35,29.655
89,73.32,47.36
6,210.71,38.315
60,80.16,19.945
68,76.4,14.05
19,338.08000000000004,21.9525
23,223.53999999999996,26.1725
41,36.07,2.58
55,143.09,17.37333333333333
93,307.41,25.980000000000004
95,265.23,20.083333333333332
38,257.69,22.945
44,90.84,48.06
82,168.56,23.81
53,30.64,36.25
92,342.76,33.803333333333335
86,52.91,6.24
58,109.03,16.93
81,173.66,13.565000000000001
48,61.19,43.63
97,134.74,48.71
84,198.27,19.05
79,52.7,10.01
24,263.11,29.497500000000002
9,141.14,39.35333333333333
32,173.86,37.815
1,75.91,16.69
20,299.9,30.26666666666667
56,50.48,34.95
36,65.95,16.38
37,222.24,30.24333333333333
49,48.6,16.45
63,44.56,22.485
65,154.64,43.114999999999995
39,198.53,24.374000000000002
12,55.51,2.66
83,255.87,21.3875
13,301.8,29.19666666666667
14,118.98,28.933333333333334
91,146.28,46.57
94,245.85999999999999,24.19666666666667
72,246.36,20.663333333333334
74,7.64,14.52
76,121.15,25.005000000000003
2,26.31,9.2
50,235.17,15.84
45,88.8,9.37
57,274.11,44.34
