driver_id,total_fare,average_distance
7,184.27,29.51
51,32.72,21.79
15,53.93,32.7
54,34.89,22.86
11,170.28,15.07
29,153.7,24.29
69,232.05,20.363333333333333
42,137.96,48.06
87,67.57,19.12
64,95.21,39.894999999999996
3,103.25,21.91
30,53.21,2.58
34,125.74,35.16
59,202.86,13.92
8,109.23,14.204999999999998
85,191.47,10.135
16,89.97,32.255
35,133.6,23.295
71,129.63,27.910000000000004
98,283.91999999999996,31.4
47,119.06,36.21333333333333
99,15.01,45.19
96,27.94,30.56
43,149.13,33.19
5,292.39,23.759999999999998
31,103.04,17.615000000000002
100,107.58,33.64
61,185.53,18.955
27,237.39,22.070000000000004
75,116.29,13.1
26,70.87,35.91
46,128.71,17.13
78,38.79,23.69
77,125.35,29.655
89,73.32,47.36
60,41.83,3.54
68,76.4,14.05
19,208.09,23.643333333333334
23,223.53999999999996,26.1725
41,36.07,2.58
55,101.82,16.509999999999998
93,296.94,26.590000000000003
95,265.23,20.083333333333332
38,226.82,17.633333333333336
44,90.84,48.06
82,168.56,23.81
53,30.64,36.25
92,95.38,38.41
86,52.91,6.24
58,109.03,16.93
81,173.66,13.565000000000001
97,134.74,48.71
84,185.37,12.84
79,52.7,10.01
24,156.35,23.91
9,107.61,43.09
32,50.21,41.03
20,59.93,38.85
56,50.48,34.95
36,65.95,16.38
37,88.94,27.005
49,48.6,16.45
63,33.99,28.01
65,121.23,38.51
39,185.94,21.63
12,55.51,2.66
83,96.57,8.735
13,218.18,22.689999999999998
14,107.33,21.29
94,185.6,21.46
91,146.28,46.57
72,217.91000000000003,29.61
76,121.15,25.005000000000003
50,99.35,27.51
45,88.8,9.37
57,274.11,44.34
